type,link,title,text,label
politics,https://theonion.com/youre-the-bonnie-to-my-clyde-says-biden-running-off-with-pardoned-turkey/,"‘You’re The Bonnie To My Clyde,’ Says Biden Running Off With Pardoned Turkey"," Published: WASHINGTON—Participating in the annual tradition one last time before leaving office, President Joe Biden reportedly told a pardoned Thanksgiving turkey “You’re the Bonnie to my Clyde” on Monday before running off with it and disappearing over the horizon. “It’s us against the world now, turkey,” said the commander-in-chief, grabbing the bird by the wing and laughing wildly as the two of them fled the White House grounds in a convertible, the turkey’s handlers in hot pursuit. “They’re going to keep coming after us, you know, but I’ve got your back, and I know you’ve got mine. It’ll be just you, me, and the wide open road, together until the end. Don’t worry, I’ve got a cozy little place in Delaware we can hide out in until things die down.” At press time, Biden urged the turkey to take the wheel so that he could fend off the Secret Service agents on their tail. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/fact-checking-rfk-jr-on-health/,Fact-Checking RFK Jr. On Health," Published: Robert F. Kennedy Jr., Donald Trump’s pick to lead the Department of Health and Human Services, has faced scrutiny over his claims on vaccines, fluoride, nutrition, and more.The Onionfact-checks Kennedy on health. Claim: Fluoride is a “toxic pollutant” and “industrial waste” that should be taken out of public drinking water. False: Water fluoridation is a completely safe way to turn the population gay. Claim: Raw milk is good for you. False: We’re pretty sure he’s thinking of yogurt. Claim: Direct-to-consumer advertising for pharmaceuticals is harmful. False: For many Americans, these ads are the only opportunity they have to watch a woman sea kayak with her husband. Claim: RFK Jr.’s health claims have proven to increase lifespans. True: However, it is easy to beat the average Kennedy lifespan. Claim: Lobbyists need to be removed from the healthcare process. True: But good luck with that, big guy. Claim: Antidepressants cause mass shootings. Unverified: No one will ever know what causes mass shootings, so there’s no point in even thinking about them. Claim: Chinese citizens are far less susceptible to Covid-19 than Americans. Partially true: With RFK Jr. in charge, pretty much everyone will be healthier than Americans. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/nancy-mace-introduces-bill-that-would-ban-trans-colleagues-from-congressional-gymnastics-team/,Nancy Mace Introduces Bill That Would Ban Trans Colleagues From Congressional Gymnastics Team," Published: WASHINGTON—With widespread support from her Republican colleagues, Rep. Nancy Mace (R-SC) introduced a bill Friday that would ban transgender lawmakers from the congressional gymnastics team. “I don’t care how good their bar routine is—no trans lawmaker will ever step on this mat,” Mace said in support of the two-page resolution aimed at preventing incoming Delaware Democrat Sarah McBride from competing as a member of the elite congressional women’s gymnastics team, known as the House Stars Elite. “We’re going up against the Senate Stripes this year, and we’re going to win, fair and square. If any trans legislator wants to participate in gymnastics, they’ll just have to join the gym across the street.” Reached for comment, a baffled McBride responded by stating that she had never expressed interest in gymnastics. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/political-profile-matt-gaetz/,Political Profile: Matt Gaetz," Published: President-elect Donald Trump selected Matt Gaetz as his choice for attorney general. Here is what you need to know about the former Florida congressman. Age On Tinder:22 Height:6-foot-2 with extra gangle Speaking Style:Scorned debate champion Religion:As needed Criminal History:Unfolding Forehead Movement:Critically endangered Fake ID Connection:Solid Type Of Sleazy:Country club drug dealer Celebrity Crush:You don’t want to know Catchphrase:None of those allegations have ever even been proven in a court of law Podcast Ideas:A ton of them Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/trump-admits-entire-political-career-has-been-wwe-storyline-to-set-up-match-with-cody-rhodes/,Trump Admits Entire Political Career Has Been WWE Storyline To Set Up Match With Cody Rhodes," Published: PALM BEACH, FL—Revealing that the stage was first set in 1999 with his short-lived Reform Party run, President-elect Donald Trump admitted Friday that his entire political career has been a WWE storyline to set up a match with Cody Rhodes. “Everything, from the Obama trutherism to retaking the White House, has been building to this: the greatest match of all time, between me and that no good son of a bitch Cody Rhodes,” said Trump, grabbing a reporter’s microphone and looking straight into the camera as he explained how years of public life had paved the way for a winner-take-all battle for the belt that would determine who would be the most powerful man in the country. “You thought China was in trouble? Just wait until I get my hands on Rhodes. American Nightmare, where the hell are you? Get your ass to the Capitol. Papa Trump is about to bring the hurt.” At press time, Trump had reportedly been admitted to Walter Reed Medical Center after Rhodes delivered an especially nasty Alabama slam. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/trump-boys-get-weird-feeling-after-uncle-elon-shows-them-busty-anime-cat-girl/,Trump Boys Get Weird Feeling After Uncle Elon Shows Them Busty Anime Cat Girl," Published: PALM BEACH, FL—Blushing, short of breath, and unable to look away from the image, the Trump boys told reporters Thursday that they got a weird feeling after their Uncle Elon showed them a picture of a busty anime cat girl. “Uncle Elon called us over to look at his phone, made us promise not to tell anybody, and then showed us his special pictures of the cat girl,” said Eric Trump, who confided that he and his brother felt like they were doing something really bad, but at the same time it felt really good. “I always thought girls like Tiffany were gross, but this was different. It was like a pretty girl who had cat ears, fur, a tail, and really big boobies—you could see the nipples and everything. I felt all warm down there and my stomach was full of buzzle bees [sic] and I didn’t like it. But when Uncle Elon said he needed to be alone and tried to take the picture away we got really upset and mad.” At press time, Eric and Donald Jr. were reportedly on the ground wrestling each other over who would get to be the cat girl’s boyfriend first. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/dnc-chair-its-not-a-waste-of-money-if-it-makes-you-happy/,DNC Chair: It’s Not A Waste Of Money If It Makes You Happy," Published: Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/joe-biden-given-human-food-as-birthday-treat/,Joe Biden Given Human Food As Birthday Treat," Published: WASHINGTON—After bending the rules with a celebratory serving in honor of his special day, White House officials confirmed Wednesday that President Joe Biden had been given human food as a birthday treat. “I know he’s not technically supposed to eat this kind of stuff, but we figure once in a while on a special occasion a ground beef patty on a sesame seed bun can’t be too bad for him,” said White House executive chef Eric Aikens, slyly explaining how his team decided to bypass the preplanned feeding schedule advised by the medical staff who oversee the president’s strict diet. “Whenever we give him a little taste of what’s on the table, he goes wild for it. Sometimes human food upsets his stomach, so we might pay for it later, but every birthday boy needs a treat. We’ll even put a little candle on top of the hamburger patty for him—who knows how many birthdays the little guy has left?” According to sources, the chef completed the president’s birthday plate by sneaking an antifungal pill beneath the pile of mashed potatoes. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/trump-locks-bathroom-door-so-elon-musk-cant-follow-him-in/,Trump Locks Bathroom Door So Elon Musk Can’t Follow Him In," Published: PALM BEACH, FL—Admitting that ever since he joined the campaign trail the billionaire tech mogul had refused to leave him alone, President-elect Donald Trump reportedly locked the bathroom door Tuesday so Elon Musk couldn’t follow him in again. “All right, Elon, out,” an audibly frustrated Trump had said moments earlier as he stood up from the toilet and grabbed Musk by the scruff to throw him out, the SpaceX founder having barged in through the slightly ajar door, sat at his feet, stared into his eyes, and loudly whined. “Bad Elon. You know the bed, the couch, and the toilet are off limits. Now, go to your kennel and lie down. Or do you want to get hit with the newspaper again?” At press time, source confirmed Trump had sent Musk to be neutered after he got out of his crate and impregnated dozens of female aides. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
politics,https://theonion.com/biden-authorizes-ukraine-to-use-long-range-weapons-on-him/,Biden Authorizes Ukraine To Use Long-Range Weapons On Him," Published: ‘I’m Ready, Man,’ Declares Weary President WASHINGTON—Explaining that this represented the end of the line and he simply wished to go out with a bang, President Joe Biden announced Monday that he had authorized Ukraine to use long-range weapons on him. “Effective immediately, I’m giving the Ukrainian military the support needed for them to carry out a precision long-distance strike that would put me out of my misery,” said the visibly depleted commander-in-chief, who described how the U.S.-provided Army Tactical Missile Systems, or ATACMS, would provide Ukraine’s forces with a crucial edge in wiping him off the map after years of grinding existence. “It has been a long road to get here. Frankly, I’m tired. So, so tired. All I want to do is to go away forever. A missile launched over 5,500 miles from Eastern Europe would do that exactly. So launch the strike, Volodymyr. You’ll be doing me a favor, all right? 10…9…8…” At press time, Biden was spotted waving his arms as he stepped onto the White House lawn and looked expectantly toward the sky. Advertising Explore Tags Related Coverage Advertising Trending News Recent News Read More Your Horoscope — Today’s Birthday Sagittarius (November 22 to December 21): You’re going out in that? No, you look great. Very bold. Read Your Horoscope Subscribe for all the latest Headlines ""*"" indicates required fields Δ Please review ourPrivacy Policyfor detailed information on how we handle your newsletter data. © 2024 The Onion Privacy Policy Cookie Policy Terms of Use Print Membership Terms",0
