type,link,title,text
politics,https://theonion.com/rfk-jr-demands-secret-service-protection-after-finding-cheez-it-on-kitchen-floor/,RFK Jr. Demands Secret Service Protection After Finding Cheez-It On Kitchen Floor,"MALIBU, CA—Insisting that situations such as this compelled the federal government to act immediately, former presidential candidate Robert F. Kennedy Jr. told reporters Monday that he was demanding Secret Service protection after finding a Cheez-It on his kitchen floor. “Today, I’m calling on the White House to move with swiftness and urgency to provide me with appropriate protection against cheese-flavored snack threats,” said the Trump campaign surrogate, who vividly described the terror he felt after he saw the baked menace lying next to his refrigerator and realized he was completely unguarded against stepping on it with his bare feet. “It missed my foot by an inch or less. Obviously, I’ve made many powerful enemies—but which one left this square-shaped cracker there? And who benefited from letting it get this close to me? Congress must answer these questions. Right now, though, I need trained agents sweeping every building I enter for floor-bound snacks to ensure this never happens again.” Kennedy went on to issue a stark warning, stating that if the Cheez-It had been extra cheesy flavored, he would be dead right now."
politics,https://theonion.com/morbidly-obese-trump-boys-regret-eating-so-many-ballots/,Morbidly Obese Trump Boys Regret Eating So Many Ballots,"PALM BEACH, FL—Clutching their stomachs and wincing with pain after gorging themselves on tens of thousands of votes, the morbidly obese Trump boys told reporters Monday that they now regretted eating so many ballots. “Oh, my tummy hurts real bad—definitely shouldn’t have had so many, but they looked so good,” the 459-pound Don Jr. said to his equally overweight brother Eric, both of them spitting out chewed-up pieces of mail-in ballots as they writhed in pain on their shared bed, groaning in evident discomfort from the bodily expansion that results from consuming nearly 30,000 calories of ballots and a significant portion of a voting booth. “I didn’t need those last few referen-yums [sic]. But once you start, you can’t stop. Ugh, some of these were definitely fraudulent, too. Get out of the way, Eric! I feel like I’m gonna puke!” At press time, the seat of Eric Trump’s pants had reportedly split after he attempted to snack on one more election worker."
politics,https://theonion.com/nations-impish-swing-voters-announce-they-have-little-surprise-in-store/,Nation’s Impish Swing Voters Announce They Have Little Surprise In Store,"ATLANTA—Holding their hands up to their mouths and giggling as their eyes darted from side to side, the nation’s impish swing voters announced Monday that they had a little surprise in store for everyone. “Tee-hee-hee! You’d like to know who we think is the candidate of change in these troubled times, wouldn’t you?” said registered independent Wren Mogley, who spoke at a press conference held by mischievous undecided voters from across the country, letting a puckish grin twist up from the corners of his mouth before he ducked behind the podium, his cheeks blushing red. “You’ll never guess what tricks we fickle rascals have up our sleeves! Our minds flit ever so unexpectedly from one candidate to the other and then back again. Who oh who will we fancy on Election Day? La, la, la, la, la—the entire country is at our mercy!” According to political analysts, the twinkle in the eyes of the nation’s impish swing voters suggested most would probably forget to go to the polls."
politics,https://theonion.com/georgia-officials-remind-voters-to-bring-2-forms-of-weapon-to-intimidate-election-workers/,Georgia Officials Remind Voters To Bring 2 Forms Of Weapon To Intimidate Election Workers,"ATLANTA—As part of a public campaign to prevent the state’s residents from being turned away at the polls, Georgia officials reminded voters Thursday that they would need to bring two forms of weapon to their voting place in order to intimidate election workers. “Access to poll workers will only be guaranteed to those who arrive with two different types of weaponry suitable for terrifying these volunteers into compliance,” read a statement by Gov. Brian Kemp, which explained that any Georgian who failed to make a sufficiently menacing display of arms would be removed from the premises and excluded from harassing election staff for the 2024 election cycle. “Citizens must brandish an automatic or semiautomatic rifle with a magazine containing at least 30 rounds, and they must also flash or wave around a qualifying sidearm, such as a Glock, revolver, tactical knife, baseball bat, or brass knuckles. Please note: Pepper spray is no longer accepted as a valid form of intimidation.” Kemp’s statement also included a reminder that anthrax-laden ballots must be received by Election Day in order for threats-by-mail to be counted."
politics,https://theonion.com/poll-watcher-slaps-i-voted-sticker-on-bump-stock/,Poll Watcher Slaps ‘I Voted Sticker’ On Bump Stock,Content not found
politics,https://theonion.com/polling-place-boosts-attendance-with-80s-night/,Polling Place Boosts Attendance With ’80s Night,Content not found
politics,https://theonion.com/trump-admits-relationship-with-epstein-severed-after-dispute-over-dibs-on-ivanka/,Trump Admits Relationship With Epstein Severed After Dispute Over Dibs On Ivanka,"PALM BEACH, FL—Asserting that the pair had not been close “for decades” prior to the financier’s death, Donald Trump admitted Friday that his relationship with Jeffrey Epstein was severed after a dispute over dibs on the former president’s daughter Ivanka Trump. “We had a very good time for many years, but it was unfortunately Ivanka who drove a wedge between us,” said the Republican presidential nominee, who explained that his friendship with the convicted sex trafficker “fell to pieces” after the two men failed to strike an agreement over who would get to pursue Trump’s eldest daughter. “He didn’t want to share. I didn’t want to share, either. We were very competitive that way. I said any future daughters could be his, but I think he knew I was bluffing. Besides, it’s not like anyone wanted Tiffany.” Reached for comment, a spokesperson for the Trump campaign denied Trump had just said those things."
politics,https://theonion.com/pros-and-cons-of-making-election-day-a-federal-holiday/,Pros And Cons Of Making Election Day A Federal Holiday,"As designated by Congress in 1845, election day falls on the first Tuesday following the first Monday of November every year.The Onionexamines the pros and cons of making election day a federal holiday.PRO:Won’t have to waste PTO on stealing an electionCON:Spending three hours in line even worse if it’s a holidayPRO:Gives everyone a chance to exercise their right to playNBA JamCON:Was planning to go to the bank that dayPRO:Perfect opportunity to stay home and stress-eat the rest of your Halloween candyCON:Brings the government into our electionsPRO:I mean, they have to give us Monday off too, right? You can’t just leave Monday in the middle like that.CON:Can’t start acting like voting matters this late in the democracy gamePRO:Would teach children value of staying glued to cable news coverage for nine hours straightCON:Voting gives workers a dangerous sense of control over lives"
politics,https://theonion.com/las-vegas-unveils-new-swim-up-voting-booths/,Las Vegas Unveils New Swim-Up Voting Booths,Content not found
politics,https://theonion.com/new-indiana-law-requires-women-voters-to-show-husbands-id/,New Indiana Law Requires Women Voters To Show Husband’s ID,"INDIANAPOLIS—In an effort to ensure only properly credentialed individuals are allowed to participate in the political franchise, a new law passed Thursday in Indiana requires all women voters to show their husband’s ID before they can be issued a ballot. “As part of our election integrity program, women must arrive at their polling place with a valid Indiana driver’s license, military ID, or U.S. passport belonging to their husband,” said Gov. Eric Holcomb, who added that the law also requires women to present a marriage license confirming they are wedded to a man and a signed letter from a male head of household stating that they have permission to leave their home. “We want to make sure everyone has gone through all the matrimonial channels necessary before they cast their vote. Given the widespread reports of single women voting in an attempt to undermine the sanctity of our elections, this new law could not come at a more appropriate time.” At press time, hundreds of Indiana women were reportedly purged from voter rolls after it was discovered they were divorced."
