type,link,title,text
local,https://theonion.com/couple-denied-marriage-license-after-failing-to-prove-love-beyond-reasonable-doubt/,Couple Denied Marriage License After Failing To Prove Love Beyond Reasonable Doubt,"KANSAS CITY, MO—Falling short of the high burden of proof demanded in the courthouse, area couple Alice Fields and Zachary Garcia were reportedly denied a marriage license Tuesday after failing to prove their love beyond a reasonable doubt. “Although in common terms the two of you may be considered in love, it is the duty of this court to follow a certain standard of evidence, and your relationship must be presumed casual until it is proven serious,” said Judge Luther Hanscom, whose ruling found insufficient grounds to suggest Fields and Garcia’s bond was meant to last forever, concluding it was plausible they were participants in nothing more than a simple fling. “You have not provided the necessary love letters or the breathless texts to your friends after your first date to substantiate a legal claim that you are two halves of a shared, sacred whole. Even as I look at you now, I can see no body language indicating a level of romantic chemistry sufficient to warrant a marriage license. Your affection, though it may exist, is just not at the threshold of making me hear wedding bells when you gaze into each other’s eyes.” At press time, sources confirmed the couple had successfully appealed the ruling after Garcia gave his fiancée a tennis bracelet that must have cost at least $800."
local,https://theonion.com/mom-spends-15-minutes-hearting-every-message-from-last-5-days-of-family-group-chat/,Mom Spends 15 Minutes Hearting Every Message From Last 5 Days Of Family Group Chat,"RICHMOND, VA—In an attempt to make clear her feelings of emotional warmth toward their texts and photos, local mom Susan Barnes reportedly spent 15 minutes of her Thursday morning combing through the past five days of her family’s group chat and adding a heart emoji to each message. “My phone was blowing up every 10 seconds, so I finally just turned it off until she was done liking everything,” said Alex Barnes, 16, whose sole contributions to the group chat during the five-day period were a confirmation of when he needed to be picked up from soccer practice and a text indicating “ok” when he was informed dinner was ready. “The only messages in our chat that don’t have any kind of engagement are hers—which are usually pictures of sunsets, detailed updates on the health of our grandparents, or just long run-on sentences that no one ever makes it to the end of. Occasionally, though, she’ll like one of her own photos of us spending time together.” At press time, Barnes family members confirmed their mother had sent a message that consisted of nothing but a large red heart emoji and had then added a heart reaction to the heart."
local,https://theonion.com/ambulance-driver-pretty-embarrassed-she-did-all-that-just-to-go-three-blocks/,Ambulance Driver Pretty Embarrassed She Did All That Just To Go Three Blocks,"MINNEAPOLIS—Admitting her knee-jerk response seemed to have been an overreaction, local ambulance driver Tara Stanton told reporters Wednesday that she was pretty embarrassed she did all of that just to go three blocks. “Oh jeez, if I’d known the guy’s apartment was this close, I never would’ve leaned on the horn and run all those red lights,” said Stanton, who meekly turned off her siren, exited the emergency vehicle, and grew visibly red with humiliation as she looked back a mere 300 yards to the firehouse from which she’d been dispatched. “I totally tore through that intersection at, like, 90 miles per hour, and cut off a few cars, too. I feel really bad if that car crash was because of me. Darn. We probably could have just walked.” At press time, Stanton added that she felt particularly ashamed after realizing the patient whose call she was responding to had already passed away during her 27-second drive."
local,https://theonion.com/grandma-who-survived-great-depression-casually-drops-that-she-once-killed-man-for-mayonnaise/,Grandma Who Survived Great Depression Casually Drops That She Once Killed Man For Mayonnaise,"LOUISVILLE, KY—In a wide-ranging conversation about the hardships and difficult choices her family had faced during the Great Depression, local grandmother Mary Sipple casually mentioned Tuesday that in August 1937 she took the life of a man who refused to give up a jar of mayonnaise. “She just crushed his skull with a rock and said a prayer while he bled out,” said Sipple’s granddaughter Sarah Green, explaining that her grandmother had managed to make the mayonnaise last until spring, right around the time the dead man’s body—which she had carefully weighed down and dumped into the Ohio River—washed up in the next county. “Grandma told me she was tired of having nothing to put between two slices of bread. So when she saw the man with his jar of Hellmann’s, she made him a proposition: He could either give her the mayonnaise, or he could die. I asked her how she felt about this now, and she just said sandwich spreads were hard to come by back then and the man had made his choice.” At press time, Sipple was reportedly listing on her fingers the various other items—eggs, flour, chewing gum, an Indian head nickel—she had killed people over during the worst economic crisis in American history."
local,https://theonion.com/man-starting-to-worry-mole-on-his-tumor-might-be-cancerous/,Man Starting To Worry Mole On His Tumor Might Be Cancerous,Content not found
local,https://theonion.com/coworker-asking-if-anyone-can-cover-his-weekend-with-daughters/,Coworker Asking If Anyone Can Cover His Weekend With Daughters,"SPOKANE, WA—Saying anyone who could swing it would be doing him a “huge solid,” 38-year-old data entry clerk Darryl Bouchard reportedly asked his coworkers Monday if one of them could cover his weekend with his daughters. “Hey, guys, sorry this is such short notice, but is there any chance somebody could pick up my custody weekend with Katie and Sarah?” said Bouchard to his coworkers, adding that something important had just come up that conflicted with his regular court-ordered parenting schedule. “The girls are usually pretty quiet on weekends, so all you’d have to do is feed them, put them to bed, and maybe take them to a Sabrina Carpenter concert if you can manage it. I know nobody wants to spend their weekend hanging out with my kids, but I’m really up against the wall here. I’d be glad to return the favor any weekend when a friend hasn’t scored free Seahawks tickets and invited me to come with him.” At press time, sources confirmed Bouchard had texted again to see if one of his coworkers could fill in for him at an upcoming family court hearing."
local,https://theonion.com/modern-day-magellan-discovers-new-dining-options-by-zooming-in-a-little-on-google-maps/,Modern-Day Magellan Discovers New Dining Options By Zooming In A Little On Google Maps,"PORTLAND, OR—Demonstrating an ability to uncover previously uncharted territories not seen since the Portuguese explorer circumnavigated the globe, 32-year-old Nate Sulzer, a modern-day Ferdinand Magellan, reportedly discovered new dining options Monday by zooming in a little on Google Maps. “Oh cool, it looks like there’s a pretty good Thai place a few blocks over,” said the intrepid explorer, placing a finger and thumb on his phone screen and moving them apart slightly to reveal several more restaurants and coffee shops, which appeared before him like the islands of Tierra del Fuego materializing out of the South American mists. Sulzer then told his friends—in manner that recalled the famed 16th-century admiral lowering a brass telescope from his eyes to sketch out his destination on a parchment map before the stunned sailors of theTrinidad—that one restaurant was apparently BYOB.“You couldn’t see it before, but I guess if you jiggle the screen around a little bit, sometimes more stuff shows up. There’s a burger place, too.” At press time, sources confirmed that the employees at a local buffalo wing restaurant were warmly greeting Sulzer and his friends like natives welcoming Magellan’s crew, unbeknownst to the horrors that awaited them."
local,https://theonion.com/man-thinks-his-dog-is-office-mascot/,Man Thinks His Dog Is Office Mascot,"BURLINGTON, VT—Though the man is met with little more than polite smiles and indifferent nods as he brings his dog around from cubicle to cubicle, sources at Patterson Technologies confirmed Tuesday that employee Kyle Lutz thinks his 2-year-old terrier mix is the office’s mascot. “Everyone loves it when I bring Comet into work, and in a way, I think he represents what this place is all about,” said Lutz, who is apparently oblivious to the fact that three quarters of his coworkers do not know the name of his dog and many try to look busy as he walks past so they do not have to interact with the animal. “He has this go-getter spirit that perks everyone up, and his fresh attitude really reflects our office culture. I always tell HR they should have him sit in on job interviews, because if a candidate doesn’t love Comet, you’ll know right away they aren’t a good fit forthiscompany!” At press time, after bringing his dog into the sales team’s meeting with a potential client and hollering, “This little guy right here is what it’s all about!” Lutz had reportedly been fired."
local,https://theonion.com/ethnic-name-copied-and-pasted-into-email/,Ethnic Name Copied And Pasted Into Email,Content not found
local,https://theonion.com/sustainably-minded-hit-man-suffocates-victim-using-reusable-tote/,Sustainably Minded Hit Man Suffocates Victim Using Reusable Tote,Content not found
local,https://theonion.com/friend-sets-inescapable-social-trap-with-3-possible-dates-to-hang-out/,Friend Sets Inescapable Social Trap With 3 Possible Dates To Hang Out,"SANTA CLARITA, CA—Staring down at the text message in horror and realizing that he had been brilliantly outplayed, local man Jonathan Garner told reporters Monday that his friend had set an inescapable social trap by proposing three possible dates to hang out. “Goddamn it, he got me—how am I supposed to get out of grabbing drinks on either Wednesday night, Sunday afternoon, or two Fridays from now?” said Garner, who hung his head in frustration after realizing that his overeager, socially starved friend had spent months slowly backing him into a corner until he finally ran out of plausible excuses to meet up for a couple of hours. “Even if I somehow get out of hanging out this Wednesday and Sunday, there’s no way I can say I’m still ‘super busy with work’ two weeks from now. God, I’m such an asshole. Maybe I’ll just say something vague, like some family stuff came up.” At press time, Garner could reportedly be heard screaming in agony after his friend put the final nail in his coffin with a polite “No worries, I’m happy to work around your schedule!”"
local,https://theonion.com/hit-man-opens-guitar-case-concealing-guitar-he-going-to-beat-targets-ass-with/,Hit Man Opens Guitar Case Concealing Guitar He Going To Beat Target’s Ass With,"SAN ANTONIO—Breezing past security in the guise of a musician and entering the ballroom where his target was attending a cocktail party, area hit man Don Meston reportedly opened a guitar case Friday in which he had concealed the guitar he planned to beat his victim’s ass with. “There were guards out front, but I kept a low profile and slipped right through—along with a little present for our friend,” Meston radioed to his handler, looking left and right before ducking into an out-of-the-way utility closet where he uncased the hidden Gibson Les Paul, attached a strap so he could carry it comfortably over his shoulder, and turned all the instrument’s knobs up to 10. “I’ll try to smack the shit out of the target quick and clean. Keep the car running, though, because if he puts up a fight, I may have to whale on his ass for a while before I can make my getaway.” At press time, witnesses confirmed security had subdued the contract killer after he paused in the middle of carrying out his hit to check the guitar’s tuning."
local,https://theonion.com/food-used-as-napkin/,Food Used As Napkin,Content not found
